SiteYear,masterid,stationcode,sampledate,evaluator,hydromodcomments,fullyarmored,fullyarmoredcomments,area.SqMile,precip.Inch,valleyslope,valleywidth.Meter,giscomments,d50estimate,d50,d50comments,bankheightl1,bankheightl2,bankheightl3,bankheightr1,bankheightr2,bankheightr3,bankheightcomments,bankanglel1,bankanglel2,bankanglel3,bankangler1,bankangler2,bankangler3,bankanglecomments,streambedstate,streambedstatecomments,armoringpotential,armoringpotentialcomments,GradeCtrl.Hydromod,GradeCtrlComnts.Hydromod,lateralsusceptibilityl,lateralsusceptibilityr,lateralsusceptibilitycomments,Q10,VertSuscept,LatRatingL1,LatRatingL2,LatRatingL3,LatRatingR1,LatRatingR2,LatRatingR3,AverageLatSuscept,Year,stationname,latitude,longitude,huc,county,smcshed,smc_lu,psa_lu,probabilistic,new_lat,new_long,regionalboardnumber,psa6c,psa9c,psa10c,eco_ii_2010,eco_iii_2010,ag_2000_1k,ag_2000_5k,ag_2000_ws,code_21_2000_1k,code_21_2000_5k,code_21_2000_ws,urban_2000_1k,urban_2000_5k,urban_2000_ws,roaddens_1k,roaddens_5k,roaddens_ws,paved_int_1k,paved_int_5k,paved_int_ws,invdamdist,ag_2011_1k,ag_2011_5k,ag_2011_ws,urban_2011_1k,urban_2011_5k,urban_2011_ws,forest_2011_1k,forest_2011_5k,forest_2011_ws,pasture_2011_1k,pasture_2011_5k,pasture_2011_ws,row_crops_2011_1k,row_crops_2011_5k,row_crops_2011_ws,channeltype,structurewidth,structureshape,structureshapecomments,rightsideofstructure,rightvegetation,rightsidecomments,leftsideofstructure,leftvegetation,leftsidecomments,bottom,bottomcomments,vegetation,lowflowpresence,lowflowwidth,gradecontrolpresence,gradecontrollocation,GradeCtrlComnts.ChEn,channelmodcomments,CRAM.Index,CRAM.Biotic,CRAM.Buffer,CRAM.Hydrology,CRAM.Physical,csci,ASCI.diatoms,ASCI.hybrid,ASCI.sba,ipi,ipi_percentile,ev_flowhab,ev_flowhab_score,h_aqhab,h_aqhab_pred,h_aqhab_score,h_subnat,h_subnat_score,pct_safn,pct_safn_pred,pct_safn_score,xcmg,xcmg_pred,xcmg_score,ipi_qa,ev_flowhab_qa,h_aqhab_qa,h_subnat_qa,xcmg_qa,pct_rc
405M10600_2016,405M10600,405M10600,6/23/2016,Karin Wisenbaker,,Yes,NA,452,27.7,0,28345,"elevation is 13m at both the downstream and 500 m upstream point, giving a slope of 0, 11/30/16 SMT",,5660,Concrete Channel,1,1,1,1,1,1,,26,26,26,26,26,26,,C,,,NA,,NA,1,1,,1356.868261,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2016,Craig Park,33.85293,-118.10127,405,Los Angeles,San Gabriel,Urban,Urban,TRUE,33.8532226,-118.10135,4,SC,SCx,SCx,Xeric,85,0,0,0,2.0751,6.3551,8.1226,96,92,28,13.47966,13.56351,4.472558,1,10,1046,0,0,0,0,94,91.11111,28.84358,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,10 to 50 m,Trapezoidal,NA,Concrete,NA,NA,Concrete,NA,NA,Concrete,NA,No,Present,NA,Absent,NA,NA,NA,40,25,67.67,41.67,25,0.37130822,0.172074858,0.435336514,0.392876598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405PS0011_2017,405PS0011,405PS0011,6/29/2017,Karin Wisenbaker,,Yes,,6.8,15.3,0.01,6656,,NA,-88,RC,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,,NA,1,1,NA,22.30247079,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2017,,33.88054,-117.89743,845,Orange,San Gabriel,Urban,Urban,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,5 to 10 m,Trapezoidal,NA,Concrete,NA,NA,Concrete,NA,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,42,33.33,67.67,41.67,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405PS0030_2015,405PS0030,405PS0030,7/8/2015,Karin Wisenbaker,SGUR0030,No,NA,84.6,35.4,0.017993522,168,,65,32.5,,0.6,0.6,0.65,0.6,0.6,0.65,NA,10,25,30,13,24,20,,C,NA,,NA,,NA,3,3,NA,381.4192002,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2015,,34.23487,-117.80523,405,Los Angeles,San Gabriel,Open,Other,TRUE,34.2354539,-117.80636,4,SC,SCm,SCm,Mountain,8,0,0,0,4.5003,3.4583,1.0689,0,0,0,0.35833814,0.99563131,0.33605462,0,11,45,0,0,0,0,0,0.26249475,0.11410278,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Present,Within 10 m downstream,NA,NA,75,61.11,86.42,91.67,62.5,0.73657798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405PS0036_2016,405PS0036,405PS0036,7/11/2016,Karin Wisenbaker,,No,NA,45.9,39,0.028,31,,,280,,0.9,0.9,1,0.9,0.9,1,,50,38,45,45,30,55,,C,,,NA,,NA,1,1,,241.4096394,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2016,West Fork San Gabriel River,34.24118,-117.93426,405,Los Angeles,San Gabriel,Open,Other,TRUE,34.240568,-117.93456,4,SC,SCm,SCm,Mountain,8,0,0,0,3.1025,1.2863,1.659,0,0,0,1.11998036,0.14323128,0.05937955,0,4,4,0,0,0,0,0,0.00306645,0.04841882,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,5 to 10 m,Natural,NA,Grouted rock,NA,NA,Earthen bare,NA,NA,Soft/Natural,NA,No,Absent,NA,Absent,NA,NA,NA,85,86.11,90.29,75,87.5,0.91854013,0.916450196,0.947380235,0.872577727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407M01516_2015,407M01516,407M01516,6/24/2015,Karin Wisenbaker,,Yes,NA,7.3,19.2,0.008,25532,,-88,5660,Concrete Channel,0.5,0.5,0.5,0.5,0.5,0.5,NA,90,90,90,90,90,90,,C,NA,,NA,,NA,1,1,NA,28.25469723,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2015,Arundell Barranca u/s Harbor Blvd,34.25539,-119.25498,407,Ventura,Santa Clara,Urban,Ag,TRUE,34.25539,-119.25498,4,SC,SCx,SCx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.635136,9.450575,5.77963,1,34,54,0,41,3,2,58,56.35255,26.44479,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,5 to 10 m,Rectangular,NA,Concrete,No,NA,Concrete,Yes,NA,Concrete,NA,No,Absent,NA,Absent,NA,NA,NA,37,25,66.46,33.33,25,0.43036113,NA,NA,NA,0.78,0.04,17,1,10,1.02,1,20,1,45,41.81,0.1,45,134.25,0.23,0.05,0.3,0.55,0.05,0.5,52
408BA0036_2015,408BA0036,SMC00036,6/15/2015,Karin Wisenbaker,,No,NA,2.2,15.9,0.03,2617,,5,9,,0.55,0.45,0.45,0.55,0.45,0.45,NA,37,65,20,20,22,55,,C,NA,,NA,,NA,5,5,NA,8.606792675,LOW,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,2015,NA,34.21502,-118.87899,408,Ventura,Calleguas,Urban,Urban,NA,34.2149695,-118.87999,4,SC,SCx,SCx,Xeric,85,0,0,0,34.4704,19.2695,19.2695,63,76,76,7.681423,13.23558,13.23558,0,37,37,0,0,0,0,64,73.73803,73.73803,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,10 to 50 m,Natural,NA,Earthen,No,NA,Earthen,No,NA,Soft/Natural,NA,No,Absent,NA,Absent,NA,NA,NA,60,44.44,75,58.33,62.5,0.54876706,NA,NA,NA,0.82,0.07,11,1,23,1.04,1,25,1,54,41.74,0.4,34,134.25,0.16,0.06,0.3,0.64,0.06,0.55,19
408BA0036_2017,408BA0036,SMC00036,4/27/2017,Karin Wisenbaker,,No,,2.2,15.9,0.02,4133,,NA,9,,0.75,0.75,0.75,0.75,0.75,0.75,,20,90,5,20,35,90,,A,NA,N/A,NA,N/A,NA,1,1,NA,8.606792675,High,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2017,NA,34.21502,-118.87899,408,Ventura,Calleguas,Urban,Urban,NA,34.2149695,-118.87999,4,SC,SCx,SCx,Xeric,85,0,0,0,34.4704,19.2695,19.2695,63,76,76,7.681423,13.23558,13.23558,0,37,37,0,0,0,0,64,73.73803,73.73803,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,10 to 50 m,Natural,NA,Earthen,No,NA,Earthen,No,NA,Soft/Natural,NA,No,Absent,NA,Absent,NA,NA,NA,52,25,67.67,66.67,50,0.65567212,0.278206062,0.862484764,0.911679013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408BA0036_2018,408BA0036,SMC00036,6/11/2018,Karin Wisenbaker,,No,NA,2.2,15.9,0.026,6608,Urban area; valley is best approximation.,,1,SA,4,4,4,4,4,4,,50,80,30,40,35,40,,A,,,,,NA,1,1,,8.606792675,High,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2018,NA,34.21502,-118.87899,408,Ventura,Calleguas,Urban,Urban,NA,34.2149695,-118.87999,4,SC,SCx,SCx,Xeric,85,0,0,0,34.4704,19.2695,19.2695,63,76,76,7.681423,13.23558,13.23558,0,37,37,0,0,0,0,64,73.73803,73.73803,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,10 to 50 m,Natural,NA,Earthen,No,NA,Earthen,No,NA,Soft/Natural,NA,No,Absent,NA,Absent,NA,NA,NA,42,33.33,67.67,41.67,25,NA,NA,NA,NA,0.84,0.1,7,1,24,1.21,1,23,1,62,42.77,0.53,34,134.25,0.16,0.05,0.3,0.55,0.05,0.45,2
408BA0660_2015,408BA0660,SMC00660,7/14/2015,Karin Wisenbaker,,No,NA,135,17.8,0.004,1026,,2,1.03,,0.45,0.5,0.55,0.45,0.5,0.55,NA,30,30,15,15,40,25,,A,NA,,NA,,NA,4,4,NA,337.3429232,High,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,2015,,34.26784,-118.93781,408,Ventura,Calleguas,Agricultural,Urban,TRUE,34.2678337,-118.93799,4,SC,SCx,SCx,Xeric,85,40,23,4,24.338,17.6037,10.8431,20,21,17,3.270894,4.633333,4.147966,5,58,499,0,41,23,4,21,22.54945,18.80966,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,50 to 100 m,Trapezoidal,NA,Rock,NA,NA,Rock,NA,NA,Soft/Natural,NA,No,Absent,NA,Present,Within 10 m downstream,NA,NA,72,61.11,75,75,75,0.70988403,NA,NA,NA,0.81,0.06,13,1,23,1.2,1,13,1,67,42.77,0.48,26,134.26,0.12,0.05,0.3,0.55,0.05,0.45,1
408BA0660_2017,408BA0660,408BA0660,4/27/2017,Karin Wisenbaker,,No,,135,17.8,0.006,17,,NA,1,SA,0.8,0.8,0.85,0.8,0.8,0.8,,35,35,20,90,30,35,,A,NA,N/A,NA,N/A,NA,1,1,NA,337.3429232,High,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2017,,34.26784,-118.93781,408,Ventura,Calleguas,Agricultural,Urban,TRUE,34.2678337,-118.93799,4,SC,SCx,SCx,Xeric,85,40,23,4,24.338,17.6037,10.8431,20,21,17,3.270894,4.633333,4.147966,5,58,499,0,41,23,4,21,22.54945,18.80966,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,50 to 100 m,Trapezoidal,NA,Rock,NA,NA,Rock,NA,NA,Soft/Natural,NA,No,Absent,NA,Present,Within 10 m downstream,NA,NA,70,75,67.67,75,62.5,0.54061882,0.478124032,0.656736589,0.684291832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408BA0660_2018,408BA0660,408BA0660,6/11/2018,Karin Wisenbaker,,No,NA,135.2,17.8,0.006,3182,Urban area; valley is best approximation.,,1,SA,6,6,6,6,6,6,,40,40,40,35,35,35,,A,,,,,NA,1,1,,337.7776789,High,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2018,,34.26784,-118.93781,408,Ventura,Calleguas,Agricultural,Urban,TRUE,34.2678337,-118.93799,4,SC,SCx,SCx,Xeric,85,40,23,4,24.338,17.6037,10.8431,20,21,17,3.270894,4.633333,4.147966,5,58,499,0,41,23,4,21,22.54945,18.80966,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,50 to 100 m,Trapezoidal,NA,Rock,NA,NA,Rock,NA,NA,Soft/Natural,NA,No,Absent,NA,Present,Within 10 m downstream,NA,NA,66,72.22,67.67,75,50,NA,NA,NA,NA,0.94,0.31,15,1,21,1.31,1,5,1,66,49.34,0.57,67,134.26,0.36,0.05,0.3,0.55,0.05,0.5,1
408BA0660_2019,408BA0660,SMC00660,6/17/2019,Alexis Wallengren,,No,NA,135.2,17.8,0.006,823,"Nearby hills used as valley, rather than stream sides",-88,1.03,NA,0.75,0.7,0.7,0.75,0.7,0.7,,30,30,35,30,30,30,,A,,NR,NR,NR,,4,4,,337.7776789,High,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,2019,,34.26784,-118.93781,408,Ventura,Calleguas,Agricultural,Urban,TRUE,34.2678337,-118.93799,4,SC,SCx,SCx,Xeric,85,40,23,4,24.338,17.6037,10.8431,20,21,17,3.270894,4.633333,4.147966,5,58,499,0,41,23,4,21,22.54945,18.80966,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,50 to 100 m,Trapezoidal,NA,Rock,NA,NA,Rock,NA,NA,Soft/Natural,NA,No,Absent,NA,Present,Within 10 m downstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0.08,13,1,23,1.22,1,11,1,64,43.27,0.52,28,134.26,0.13,0.05,0.3,0.55,0.05,0.5,1
408BA0836_2015,408BA0836,SMC00836,6/24/2015,Karin Wisenbaker,,No,NA,75.7,15.7,0.004,7370,,5,1.03,,0.65,0.45,0.4,0.65,0.45,0.4,NA,85,40,35,55,90,70,,A,NA,,NA,,NA,2,2,NA,185.1458454,High,VERY HIGH,HIGH,HIGH,HIGH,VERY HIGH,HIGH,HIGH,2015,Conejo Creek Random Site 836,34.19071,-119.0051,408,Ventura,Calleguas,Agricultural,Ag,TRUE,34.1901929,-119.0056,4,SC,SCx,SCx,Xeric,85,31,8,6,9.5788,16.053,18.4269,18,34,34,2.322717,6.500828,6.337026,1,54,507,0,30,8,6,19,37.02499,35.62375,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,50 to 100 m,Trapezoidal,,Earthen,NR,Vegetated,Earthen,NR,Vegetated,Soft/Natural,,No,Absent,NR,Absent,NR,,,64,61.11,75,58.33,62.5,0.60644577,NA,NA,NA,0.91,0.22,14,1,25,1.28,1,24,1,66,43.2,0.49,61,134.25,0.32,0.04,0.3,0.45,0.04,0.5,1
408BA0836_2017,408BA0836,SMC00836,6/21/2017,Karin Wisenbaker,,No,,75.7,15.7,0.002,7592,,NA,1,SA,0.65,0.45,0.7,0.45,0.45,0.4,,10,66,19,38,72,20,,A,NA,N/A,NA,N/A,NA,1,1,NA,185.1458454,High,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2017,Conejo Creek Random Site 836,34.19071,-119.0051,408,Ventura,Calleguas,Agricultural,Ag,TRUE,34.1901929,-119.0056,4,SC,SCx,SCx,Xeric,85,31,8,6,9.5788,16.053,18.4269,18,34,34,2.322717,6.500828,6.337026,1,54,507,0,30,8,6,19,37.02499,35.62375,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,50 to 100 m,Trapezoidal,,Earthen,NR,Vegetated,Earthen,NR,Vegetated,Soft/Natural,,No,Absent,NR,Absent,NR,,,74,83.33,75,75,62.5,0.62567282,0.487430948,0.732568033,0.83468993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408BA0836_2018,408BA0836,SMC00836,7/11/2018,Karin Wisenbaker,,No,NA,75.7,15.7,0.004,2506,"Flat on west side of channel, and a hill on the southeast.",,1,SA,3,2,3,3,3,3,,65,65,65,75,75,75,,A,,,,,NA,1,1,,185.1458454,High,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2018,Conejo Creek Random Site 836,34.19071,-119.0051,408,Ventura,Calleguas,Agricultural,Ag,TRUE,34.1901929,-119.0056,4,SC,SCx,SCx,Xeric,85,31,8,6,9.5788,16.053,18.4269,18,34,34,2.322717,6.500828,6.337026,1,54,507,0,30,8,6,19,37.02499,35.62375,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,50 to 100 m,Trapezoidal,,Earthen,NR,Vegetated,Earthen,NR,Vegetated,Soft/Natural,,No,Absent,NR,Absent,NR,,,75,88.89,75,75,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408BA0836_2019,408BA0836,SMC00836,7/25/2019,Alexis Wallengren,,No,NA,75.7,15.7,0.002,1152,"Hill next to stream used to determine ""valley width"" of north/west side of stream.",-88,1.03,NA,0.75,0.75,0.75,0.75,0.75,0.75,,48,18,27,30,46,27,,A,,NR,NR,NR,,4,4,,185.1458454,High,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,2019,Conejo Creek Random Site 836,34.19071,-119.0051,408,Ventura,Calleguas,Agricultural,Ag,TRUE,34.1901929,-119.0056,4,SC,SCx,SCx,Xeric,85,31,8,6,9.5788,16.053,18.4269,18,34,34,2.322717,6.500828,6.337026,1,54,507,0,30,8,6,19,37.02499,35.62375,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,50 to 100 m,Trapezoidal,,Earthen,NR,Vegetated,Earthen,NR,Vegetated,Soft/Natural,,No,Absent,NR,Absent,NR,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,0.25,10,1,26,1.31,1,25,1,66,49.28,0.57,59,134.25,0.31,0.05,0.3,0.64,0.05,0.5,1
408M03005_2015,408M03005,408M03005,6/15/2015,Karin Wisenbaker,,Yes,NA,19.7,19.5,0.012,3862,,-88,5660,Concrete Channel,0.5,0.5,0.5,0.5,0.5,0.5,NA,40,90,90,40,40,40,,C,NA,,NA,,NA,1,1,NA,67.82192168,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2015,Tapo Cyn d/s Los Angeles Ave,34.27001,-118.74203,408,Ventura,Calleguas,Urban,Urban,TRUE,34.27001,-118.74203,4,SC,SCx,SCx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.18178,7.857611,2.727971,2,13,56,0,0,0,0,94,38.34999,6.148919,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,<5 m,Other,half rectangular half trapezoidal,Concrete,No,NA,Concrete,No,NA,Concrete,NA,No,Present,<1 m,Absent,NA,NA,NA,36,25,67.67,25,25,0.69394777,0.660345764,0.703470426,0.98508224,0.64,0,5,1,14,1.02,1,1,0.53,24,41.81,0.4,1,134.21,0,0.04,0.3,0.45,0.04,0.45,49
408M03015_2015,408M03015,408M03015,6/15/2015,Karin Wisenbaker,,Yes,NA,0.9,15.5,0.018,2617,,-88,5660,Concrete Channel,0.4,0.4,0.4,0.4,0.4,0.4,NA,15,15,15,15,15,15,,C,NA,,NA,,NA,1,1,NA,3.87796794,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2015,Waverly Channel east of Young,34.20947,-118.88115,408,Ventura,Calleguas,SMC_out,Urban,TRUE,34.20947,-118.88115,4,SC,SCx,SCx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.42561,10.89212,10.89212,1,6,6,0,0,0,0,81,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,<5 m,Trapezoidal,NA,Concrete,No,NA,Concrete,No,NA,Concrete,NA,Yes within past month,Present,1 to 5 m,Absent,NA,NA,NA,50,25,67.67,58.33,50,0.65713445,NA,NA,NA,0.75,0.02,16,1,13,1.05,1,15,1,42,41.8,0.1,32,134.26,0.15,0.04,0.3,0.45,0.04,0.45,55
408M03019_2015,408M03019,408M03019,7/14/2015,Karin Wisenbaker,,No,NA,0.1,15.5,0.012,1026,,10,1.03,,0.7,0.75,0.45,0.7,0.75,0.45,NA,62,50,17,57,45,40,,A,NA,,NA,,NA,4,4,NA,0.573341306,High,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,2015,Arroyo Las Posas - nr MPK WWTP,34.26742,-118.94037,408,Ventura,Calleguas,Agricultural,Urban,TRUE,34.26708,-118.9437,4,SC,SCx,SCx,Xeric,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89258904,3.91057175,4.11962317,1,57,510,0,51,27,4,13,18.05764329,18.53573225,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,50 to 100 m,Natural,NA,Earthen,Yes,NA,Earthen,Yes,NA,Soft/Natural,NA,No,Absent,NA,Present,Within reach,NA,NA,71,58.33,75,75,75,0.7052486,NA,NA,NA,0.86,0.13,8,1,26,1.05,1,24,1,64,41.8,0,85,134.26,0.46,0.06,0.3,0.64,0.06,0.5,82
408M03020_2016,408M03020,408M03020,7/12/2016,Karin Wisenbaker,,No,NA,250,16.9,0.002,8166,,,1,SA,0.8,0.8,0.8,0.8,0.8,0.8,,50,50,50,50,50,50,,A,,,NA,,NA,1,1,,554.0365211,High,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2016,Calleguas Creek upstream of Potrero Rd,34.16846,-119.05726,408,Ventura,Calleguas,Agricultural,Urban,TRUE,34.1678243,-119.058,4,SC,SCx,SCx,Xeric,85,89,41,9,0,5.0574,13.635,9,12,21,3.936479,2.091504,4.63296,1,10,1112,0,88,42,9,10,11.31136,22.47298,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,50 to 100 m,Trapezoidal,NA,Grouted rock,NA,NA,Grouted rock,NA,NA,Soft/Natural,NA,No,Absent,NA,Absent,NA,NA,NA,64,72.22,82.92,50,50,0.41943736,0.473408962,0.672528649,0.665553106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408M03027_2016,408M03027,408M03027,6/29/2016,Karin Wisenbaker,,No,NA,45.4,16.1,0.008,163,,,20,,0.86,0.8,0.9,0.86,0.8,0.9,,30,60,30,20,28,65,,B,,C,NA,C,NA,2,2,,120.9907977,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,2016,ConejoCk_HillCyn_u/s of ArrStaRosaPk,34.22489,-118.92975,408,Ventura,Calleguas,Open,Other,TRUE,34.2259435,-118.9301816,NA,SC,SCx,SCx,Xeric,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43132592,6.74511845,7.74201309,NA,64,446,0,0,0,0,3,44.44411193,44.04098755,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Absent,NA,NA,NA,74,86.11,90.29,58.33,62.5,0.76969452,0.607935666,0.641979018,0.845231772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408M03036_2016,408M03036,408M03036,6/20/2016,Brianna Jones,,No,NA,0.1,14.4,0.004,18961,"watershed not properly delineating on streamstats 11/30/16 SMT, difficult to determine accurate upstream location/direction on google earth 12/12/16/SMT",,0.05,FN,0.6,0.6,0.6,0.6,0.6,0.6,,36,36,40,35,36,40,,A,,,NA,,NA,4,4,,0.541747533,High,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,2016,LasPosasRdDrainTrib above Laguna Rd,34.17991,-119.07852,408,Ventura,Calleguas,SMC_out,Ag,TRUE,34.17991,-119.07852,NA,SC,SCx,SCx,Xeric,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66838957,0.39924295,0.39924295,1,1,1,0,96,98,98,2,1.26109295,1.26109295,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,<5 m,V-ditch,NA,Vegetative/Natural,NA,NA,Earthen bare,NA,NA,Soft/Natural,NA,No,Absent,NA,Absent,NA,NA,NA,50,50,73.25,50,25,0.24766058,0.593525445,0.684086511,0.958012966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408M03038_2017,408M03038,408M03038,4/27/2017,Karin Wisenbaker,,No,,116,18.2,0.006,263,,NA,10,,0.6,0.6,0.6,0.6,0.6,0.6,,90,5,5,45,35,45,,A,NA,N/A,NA,N/A,NA,1,1,NA,300.7400329,High,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2017,,34.27491,-118.88512,408,Ventura,Calleguas,Urban,Urban,TRUE,34.27491,-118.88512,4,SC,SCx,SCx,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.19741798,6.5185259,4.13098539,2,51,401,0,2,6,0,73,31.91712707,18.66910735,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,10 to 50 m,Trapezoidal,NA,Rock,NA,NA,Rock,NA,NA,Soft/Natural,NA,No,Present,1 to 5 m,Present,Within 10 m upstream,NA,NA,53,25,67.67,58.33,62.5,0.63562256,0.149021709,0.339631584,0.559883703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408M03047_2017,408M03047,408M03047,5/30/2017,Wendy Willis,,No,,250,17,0.002,17955,"Not a real valley, west end connects to Pacific Ocean",NA,1,SA,0.8,0.85,0.9,0.8,0.85,0.9,,26,46,46,26,44,46,,A,NA,N/A,NA,N/A,NA,1,1,NA,556.559116,High,LOW,LOW,LOW,LOW,LOW,LOW,LOW,2017,,34.17338,-119.0517,408,Ventura,Calleguas,Agricultural,Urban,TRUE,34.17338,-119.0517,4,SC,SCx,SCx,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89343448,3.27020856,4.76884152,1,8,1114,0,68,38,8,30,19.13433793,23.01217485,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engineered,5 to 10 m,Trapezoidal,NA,Grouted rock,NA,NA,Grouted rock,NA,vegetated,Soft/Natural,NA,No,Absent,NA,Absent,NA,NA,NA,61,52.78,67.67,75,50,0.64604322,0.473491798,0.48679575,0.557131622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
